Model,Offered_Load_pps,Throughput_Mbps,Delay_ms,Drops,Collisions,Avg_Reward
MCA-PPO,50,0.1312,3.6417,293,0,0.03655
MCA-PPO,100,0.25232,4.5168,442,0,0.040074
MCA-PPO,150,0.39656,5.5406,643,0,0.046969
MCA-PPO,200,0.56712,4.9798,1465,1,0.046816
MCA-PPO,250,0.6936,5.604,1859,4,0.049688
MCA-PPO,300,0.81336,5.544,2488,1,0.054208
MCA-PPO,350,0.96768,6.6286,2386,2,0.044332
MCA-PPO,400,1.16088,7.4768,1978,6,0.054696
MCA-PPO,450,1.24864,5.5269,3075,14,0.03847
MCA-PPO,500,1.30992,6.3544,4263,11,0.052375
MCA-PPO,550,1.54176,6.0239,3578,19,0.053636
MCA-PPO,600,1.83192,8.117,3653,21,0.045133
MCA-PPO,650,1.87824,6.639,4566,18,0.045676
MCA-PPO,700,1.9544,6.1223,3829,22,0.053124
MCA-PPO,750,2.27584,8.6751,6922,49,0.033236
MCA-PPO,800,2.48096,7.1886,3700,36,0.040341
MCA-PPO,850,2.23528,6.3191,4088,43,0.047934
MCA-PPO,900,2.74336,6.655,7538,91,0.026972
MCA-PPO,950,2.43728,6.3577,6037,56,0.039038
MCA-PPO,1000,2.67936,5.8762,6669,78,0.032161
MCA-D3QN,50,0.15224,3.5943,507,0,0.042287
MCA-D3QN,100,0.29752,3.8254,1150,0,0.045516
MCA-D3QN,150,0.47696,4.6374,1256,0,0.052834
MCA-D3QN,200,0.6192,5.8466,1477,1,0.041803
MCA-D3QN,250,0.73312,5.3965,2742,1,0.047041
MCA-D3QN,300,0.9732,5.3707,2127,2,0.043291
MCA-D3QN,350,1.17952,4.8901,2361,8,0.054346
MCA-D3QN,400,1.09184,6.6677,4055,5,0.043969
MCA-D3QN,450,1.54824,5.2016,3622,8,0.047576
MCA-D3QN,500,1.53496,4.5737,4113,17,0.045618
MCA-D3QN,550,1.594,5.4177,7265,19,0.022759
MCA-D3QN,600,1.69672,7.3464,4919,22,0.036893
MCA-D3QN,650,2.04728,5.9699,5242,34,0.047022
MCA-D3QN,700,2.23792,5.5002,5733,44,0.043356
MCA-D3QN,750,2.24104,6.3929,7006,62,0.036973
MCA-D3QN,800,2.44016,6.8228,7359,80,0.022244
MCA-D3QN,850,2.86528,4.9542,4686,62,0.042707
MCA-D3QN,900,2.7344,6.7065,10691,86,0.024271
MCA-D3QN,950,2.77776,6.3389,8654,75,0.033028
